family,size,model_a,model_b,tie_word_embeddings,hidden_dim,vocab,E_U_same_matrix,E_identity_R2,E_full_affine_R2,E_delta_R2,E_delta_over_Yc,E_P_over_D_full_affine_gain,E_R_over_D,E_mean_shift_over_raw_delta,E_D_rank95_over_h,E_P_rank95_over_h,E_AminusI_rank95_over_h,E_R_rank95_over_h,E_D_eff_over_h,E_P_eff_over_h,E_AminusI_eff_over_h,E_R_eff_over_h,E_D_energy_5pct_h,E_P_energy_5pct_h,E_AminusI_energy_5pct_h,E_R_energy_5pct_h,E_aff_vs_W_ratio_r1,E_aff_vs_W_ratio_r2,E_aff_vs_W_ratio_r4,E_aff_vs_W_ratio_r8,E_aff_vs_W_ratio_r16,E_aff_vs_W_ratio_r32,E_aff_vs_W_ratio_r64,E_aff_rank_budget_r1,E_aff_rank_budget_r8,E_boundary_rank_w_first_3_losses,E_hybrid_stable_small_budget_both,E_hybrid_min_gain_ratio_1_2_4_8,E_hybrid_median_gain_ratio_1_2_4_8,E_hybrid_median_match_param_ratio_1_2_4_8,U_identity_R2,U_full_affine_R2,U_delta_R2,U_delta_over_Yc,U_P_over_D_full_affine_gain,U_R_over_D,U_mean_shift_over_raw_delta,U_D_rank95_over_h,U_P_rank95_over_h,U_AminusI_rank95_over_h,U_R_rank95_over_h,U_D_eff_over_h,U_P_eff_over_h,U_AminusI_eff_over_h,U_R_eff_over_h,U_D_energy_5pct_h,U_P_energy_5pct_h,U_AminusI_energy_5pct_h,U_R_energy_5pct_h,U_aff_vs_W_ratio_r1,U_aff_vs_W_ratio_r2,U_aff_vs_W_ratio_r4,U_aff_vs_W_ratio_r8,U_aff_vs_W_ratio_r16,U_aff_vs_W_ratio_r32,U_aff_vs_W_ratio_r64,U_aff_rank_budget_r1,U_aff_rank_budget_r8,U_boundary_rank_w_first_3_losses,U_hybrid_stable_small_budget_both,U_hybrid_min_gain_ratio_1_2_4_8,U_hybrid_median_gain_ratio_1_2_4_8,U_hybrid_median_match_param_ratio_1_2_4_8,U_minus_E_full_affine_gain,U_over_E_full_affine_gain,U_minus_E_aff_vs_W_ratio_r1,U_minus_E_hybrid_min_gain_ratio
Qwen2.5,0.5B,Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,True,896,151936,True,0.986895013765239,0.9902607085466232,0.0033656947813841542,0.013104986234760993,0.25682551061798764,0.7431742725507633,0.15032077940470487,0.890625,0.6283482142857143,0.6506696428571429,0.9129464285714286,0.30857069738518417,0.05896424374106201,0.11028632324627281,0.9121467515862361,0.36254245042800903,0.6931515336036682,0.6658024787902832,0.10975753515958786,1.5778153350630437,1.4370089802524362,1.4133967310436992,1.385088081860389,1.2612038536488128,1.1081444115730772,0.9355544789264102,85,682,51,True,1.4529503403159865,1.4666536598602287,0.043145936569888924,0.986895013765239,0.9902607085466232,0.0033656947813841542,0.013104986234760993,0.25682551061798764,0.7431744241545477,0.15032080620998606,0.890625,0.6283482142857143,0.6506696428571429,0.9129464285714286,0.3085715802142937,0.05896424374106201,0.11028637583490232,0.9121467515862361,0.36254212260246277,0.6931515336036682,0.6658024787902832,0.10975753515958786,1.5778153350630437,1.4370089802524362,1.4133967310436992,1.385088081860389,1.2612038536488128,1.1081444115730772,0.9355544789264102,85,682,51,True,1.4529503403159865,1.4666536598602287,0.043145936569888924,0.0,1.0,0.0,0.0
Qwen2.5,1.5B,Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,True,1536,151936,True,0.9992619361598801,0.999681339395026,0.0004194032351458876,0.0007380638401198979,0.5682479107468079,0.4317489395180633,0.14089406707949595,0.5774739583333334,0.047526041666666664,0.06380208333333333,0.7981770833333334,0.013776405866185499,0.002607779607693851,0.004444958119358181,0.1633976138058799,0.7910254597663879,0.9514542818069458,0.9448009133338928,0.5071979761123657,0.9329815551094656,0.903725826633978,0.8819853301492587,0.8545586591386383,0.8266937983365724,0.7956384264620362,0.7602071109629406,49,399,1,False,1.0,1.0660737725980036,0.43951462293135235,0.9992619361598801,0.999681339395026,0.0004194032351458876,0.0007380638401198979,0.5682479107468079,0.4317489395180633,0.14089408045399568,0.5774739583333334,0.047526041666666664,0.06380208333333333,0.7981770833333334,0.013776428858062467,0.002607779607693851,0.004444957589477913,0.16339745797784655,0.7910252809524536,0.9514544010162354,0.9448009133338928,0.507197916507721,0.9329815551094656,0.903725826633978,0.8819853301492587,0.8545586591386383,0.8266937983365724,0.7956384264620362,0.7602071109629406,49,399,1,False,1.0,1.0660737725980036,0.43951462293135235,0.0,1.0,0.0,0.0
Qwen2.5,3B,Qwen2.5-3B,Qwen2.5-3B-Instruct,True,2048,151936,True,0.9993997007337432,0.9997321509213508,0.0003324501876076358,0.0006002992662567704,0.5538074195570127,0.44618851278583416,0.11732609814027843,0.6298828125,0.0576171875,0.05859375,0.81982421875,0.017504440258645358,0.002432688447938643,0.0030329998802935735,0.22974383186912037,0.7550369501113892,0.9468611478805542,0.946907103061676,0.45101723074913025,0.9833180274722086,0.946628820849289,0.922997398222682,0.8943869385480753,0.8647198665480827,0.8329128690549172,0.7951192033978643,37,300,1,False,1.0,1.0740010616188675,0.45400685308724154,0.9993997007337432,0.9997321509213508,0.0003324501876076358,0.0006002992662567704,0.5538074195570127,0.446188583315487,0.11732610585977511,0.6298828125,0.0576171875,0.05859375,0.81982421875,0.017504469472356156,0.002432688447938643,0.003032999518731834,0.22974383186912037,0.7550367712974548,0.9468611478805542,0.946907103061676,0.45101723074913025,0.9833180274722086,0.946628820849289,0.922997398222682,0.8943869385480753,0.8647198665480827,0.8329128690549172,0.7951192033978643,37,300,1,False,1.0,1.0740010616188675,0.45400685308724154,0.0,1.0,0.0,0.0
Qwen2.5,7B,Qwen2.5-7B,Qwen2.5-7B-Instruct,False,3584,152064,False,0.9997140644190229,0.999723155960061,9.091541038119821e-06,0.00028593558097710867,0.03179576674935525,0.9682052714537275,8.443438798150598e-05,0.49135044642857145,0.37472098214285715,0.3197544642857143,0.4916294642857143,0.32557202822898235,0.27610840726556096,0.23525661475030837,0.3248221291393471,0.40730199217796326,0.43955501914024353,0.48527228832244873,0.4080217480659485,0.1813128973409254,0.19278778067621327,0.20555454990715277,0.22790662352897176,0.23047411163280696,0.19530704629503653,0.1448780331034255,21,173,1,False,1.0,1.0,1.0,0.9986040546735593,0.9992492212865177,0.0006451666129584366,0.0013959453264406666,0.46217183491235747,0.5378215595724541,0.15361955833121832,0.6780133928571429,0.13504464285714285,0.1328125,0.8236607142857143,0.034256314852823926,0.004322227325230685,0.017410210486664163,0.3943330929448367,0.6800107359886169,0.9055940508842468,0.8985941410064697,0.3854874074459076,1.1581917319113215,1.0557013593588092,1.0301003390907402,0.9985131940320956,0.9596054967012904,0.9138846130115694,0.855992149252862,21,173,8,True,1.1087674600877921,1.1193222627750985,0.35145933634315907,0.4303760681630022,14.535640500688016,0.9768788345703961,0.10876746008779214
Qwen2.5,14B,Qwen2.5-14B,Qwen2.5-14B-Instruct,False,5120,152064,False,0.9998309539329064,0.9998389459322984,7.991999391943061e-06,0.00016904606709352654,0.04727705015169363,0.9527236546695089,7.477976543090823e-05,0.5150390625,0.3966796875,0.3060546875,0.5154296875,0.356148085122172,0.3046313435482788,0.2347021428559195,0.35438746384939057,0.3897538483142853,0.4129640758037567,0.4830276072025299,0.39131179451942444,0.2339648399709911,0.24705789164502542,0.28674715934258604,0.3058411757023301,0.30752920933121397,0.28393294935495844,0.23307598224146425,15,122,1,False,1.0,1.0,1.0,0.9994339220724631,0.9997092731081639,0.00027535103570086594,0.0005660779275369471,0.4864189580733371,0.5135674097720127,0.1578763548363942,0.6439453125,0.083984375,0.0640625,0.8107421875,0.02411395477957622,0.003462034042119394,0.0036936550561181896,0.3076313938721408,0.7327134013175964,0.9329643249511719,0.9437215328216553,0.4523427188396454,1.180735266128636,1.13542673185912,1.082325162308819,1.0224121282875565,0.9603182827926817,0.8926140779120767,0.8250590497127839,15,122,11,True,1.1254976380607888,1.1707064500796174,0.29376052779337447,0.4391419079216435,10.28869095073843,0.9467704261576451,0.12549763806078884
Qwen2.5,32B,Qwen2.5-32B,Qwen2.5-32B-Instruct,False,5120,152064,False,0.9998697145588493,0.9998761121589204,6.397600071039733e-06,0.00013028544115068803,0.049104489454442984,0.950897193251784,8.719174753664179e-05,0.478515625,0.373046875,0.305078125,0.4794921875,0.3220120653675805,0.28389700069036883,0.2249269604092412,0.32012926634608585,0.4331914782524109,0.44070959091186523,0.5051650404930115,0.4352993071079254,0.27830481101620314,0.28303856926658394,0.3114701485300479,0.31551835642515597,0.30154764730507605,0.266353243038057,0.21404843841298207,15,122,1,False,1.0,1.0,1.0,0.9994232718752262,0.9997200531211683,0.00029678124594212374,0.0005767281247738047,0.5145947166327168,0.48538751453745344,0.12852382115606584,0.62734375,0.081640625,0.0822265625,0.803515625,0.02005193740832725,0.0021756433007873123,0.004377296616420895,0.31244936252049693,0.7336350083351135,0.9341860413551331,0.9347857236862183,0.44697266817092896,1.088253814790557,1.0491208566499917,1.0183963146340453,0.9868679677749534,0.9529595748925483,0.9080124555211851,0.854065251482529,15,122,7,True,1.080076704663227,1.0893424175624868,0.3907107583982223,0.4654902271782738,10.479585926865923,0.8099490037743537,0.08007670466322692
Qwen2.5,72B,Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,False,8192,152064,False,0.9996624244489689,0.9996872173551979,2.4792906229031964e-05,0.000337575551031072,0.07344402209621359,0.9265561096899293,3.92951789282315e-05,0.7818603515625,0.518310546875,0.468017578125,0.77978515625,0.5232993646633266,0.4014472363104484,0.36832616159459114,0.5193062504992804,0.34103211760520935,0.3581323027610779,0.37028324604034424,0.3436712622642517,0.33948935761734844,0.34182833964430936,0.37096836808607236,0.3911462125174761,0.39178369390161044,0.37800758171031,0.34419458251573853,9,78,1,False,1.0,1.0,1.0,0.9986657799103109,0.9993069179084211,0.0006411379981101639,0.0013342200896891412,0.4805339112077239,0.5194325476536106,0.17464265587324984,0.6339111328125,0.1103515625,0.089599609375,0.800537109375,0.017113188112003318,0.0016854951352410902,0.006591200096196835,0.3618454404554981,0.7098096013069153,0.920945942401886,0.9297500252723694,0.40350106358528137,1.0807340350109373,1.0085866976188065,0.9888570998439274,0.9633862546947403,0.9398047001428473,0.9156545447082791,0.8824371554810657,9,78,3,True,1.0494535001716694,1.0563860253204793,0.4849631966351209,0.4070898891115103,6.542859411732814,0.7412446773935889,0.049453500171669384
Qwen3,0.6B,Qwen3-0.6B-Base,Qwen3-0.6B,True,1024,151936,True,0.9821210165079378,0.9876894496558482,0.005568433147910334,0.017878983492062236,0.31145132777725315,0.6885487226034405,0.11109501052924442,0.8291015625,0.5732421875,0.60546875,0.875,0.35052052675774925,0.1603095123775953,0.1332202081377038,0.7105030249199955,0.41843727231025696,0.6545668244361877,0.6687540411949158,0.2229526937007904,6.001784089606212,4.0111717002401495,2.5598613892893844,1.803755645901236,1.3632425947163904,1.060197661072559,0.8396714270991652,74,597,39,True,1.9866744806094276,3.3547400540505223,0.03163761433225388,0.9821210165079378,0.9876894496558482,0.005568433147910334,0.017878983492062236,0.31145132777725315,0.6885485860623769,0.11109498783782833,0.8291015625,0.5732421875,0.60546875,0.875,0.350520693899001,0.1603095123775953,0.1332202081377038,0.7105033637143195,0.4184371829032898,0.6545668244361877,0.6687540411949158,0.2229526937007904,6.001784089606212,4.0111717002401495,2.5598613892893844,1.803755645901236,1.3632425947163904,1.060197661072559,0.8396714270991652,74,597,39,True,1.9866744806094276,3.3547400540505223,0.03163761433225388,0.0,1.0,0.0,0.0
Qwen3,1.7B,Qwen3-1.7B-Base,Qwen3-1.7B,True,2048,151936,True,0.9912145794555884,0.9938152295635725,0.0026006501079840483,0.008785420544411506,0.29601885246555293,0.7039808711886887,0.07530013126747336,0.82568359375,0.5556640625,0.517578125,0.86328125,0.346705714441788,0.10343876931600682,0.024855187988760123,0.686076143733445,0.4067821204662323,0.6855060458183289,0.775377631187439,0.2367280125617981,4.180041249199177,2.7940573028985147,2.0133733525551643,1.550544366879938,1.2854427333222285,1.125479034350587,0.9552528754097196,37,300,55,True,1.6612653690447516,2.4312824293345425,0.05766879421585732,0.9912145794555884,0.9938152295635725,0.0026006501079840483,0.008785420544411506,0.29601885246555293,0.703980815605228,0.07530012576977059,0.82568359375,0.5556640625,0.517578125,0.86328125,0.3467062104086455,0.10343871999256977,0.024855182062822223,0.6860758165869243,0.4067818522453308,0.6855060458183289,0.7753775715827942,0.23672796785831451,4.180041249199177,2.7940573028985147,2.0133733525551643,1.550544366879938,1.2854427333222285,1.125479034350587,0.9552528754097196,37,300,55,True,1.6612653690447516,2.4312824293345425,0.05766879421585732,0.0,1.0,0.0,0.0
Qwen3,4B,Qwen3-4B-Base,Qwen3-4B,True,2560,151936,True,0.9859308098198453,0.9901264025115812,0.004195592691735972,0.014069190180154734,0.29821138516231127,0.7017867802268967,0.07863214865672695,0.823828125,0.48984375,0.515625,0.86640625,0.34642478973559,0.10217782295614712,0.06464562741817045,0.7232262213724121,0.40416908264160156,0.6949618458747864,0.7165668606758118,0.22202596068382263,4.989307336479545,3.515863500766289,2.378625516181486,1.7859639651719,1.4525160096812855,1.2402059678114417,1.051042129319325,30,241,77,True,1.8374415316284194,2.9541194951264,0.06286424610969785,0.9859308098198453,0.9901264025115812,0.004195592691735972,0.014069190180154734,0.29821138516231127,0.701786830490206,0.07863214865672695,0.823828125,0.48984375,0.515625,0.86640625,0.346428093515589,0.10217782295614712,0.06464562741817045,0.7232269110950132,0.4041670560836792,0.6949618458747864,0.7165668606758118,0.22202596068382263,4.989307336479545,3.515863500766289,2.378625516181486,1.7859639651719,1.4525160096812855,1.2402059678114417,1.051042129319325,30,241,77,True,1.8374415316284194,2.9541194951264,0.06286424610969785,0.0,1.0,0.0,0.0
Qwen3,8B,Qwen3-8B-Base,Qwen3-8B,False,4096,151936,False,0.9953341716367314,0.9956756081056806,0.00034143646894913005,0.004665828363268554,0.0731781030860501,0.9268199699390529,0.001025645087777478,0.725341796875,0.5947265625,0.558349609375,0.72216796875,0.5364761925989463,0.5183142239367415,0.41849617525872673,0.5260679449840057,0.28411728143692017,0.26311251521110535,0.3427428603172302,0.2890694737434387,0.5358647273140917,0.4653177746741724,0.49514851637809154,0.5159211846217495,0.5264876797647466,0.49940077727444715,0.42895319090866324,19,152,1,False,1.0,1.0,1.0,0.9916613926048998,0.994231386317553,0.002569993712653207,0.008338607395100202,0.30820418696811974,0.6917934112856481,0.05208878651495519,0.82275390625,0.487060546875,0.462646484375,0.860595703125,0.34164823193525334,0.08478917071662849,0.018736745691738138,0.6758077519830431,0.4105552136898041,0.701643168926239,0.774347722530365,0.24795959889888763,4.447351932175511,2.889005136858823,2.01778667457364,1.6076088178315915,1.3500551952799948,1.1816665718763348,1.0430672636389118,19,152,82,True,1.6607829286246716,2.459581402270081,0.10286541371872046,0.23502608388206964,4.211699592782591,3.9114872048614195,0.6607829286246716
Qwen3,14B,Qwen3-14B-Base,Qwen3-14B,False,5120,151936,False,0.995181645320977,0.9955615089847863,0.00037986366380937664,0.0048183546790230795,0.07883679992740748,0.9211614351481087,0.0010665209474126404,0.55859375,0.4638671875,0.3966796875,0.5587890625,0.3626955222452118,0.3745486116027852,0.28352010292183,0.3543396442895067,0.40855878591537476,0.3616572618484497,0.45386937260627747,0.4159596562385559,0.515699803746039,0.43987224460969304,0.46807574390931195,0.47554995883558404,0.46204005666813186,0.41637936717981083,0.34167437834390196,15,122,1,False,1.0,1.0,1.0,0.9907810132168415,0.9937198291009526,0.0029388158841110457,0.009218986783158512,0.31877861995417894,0.6812195201632297,0.04812386371689002,0.8130859375,0.4423828125,0.42890625,0.8548828125,0.31910038630820364,0.07139896120913228,0.02709125490103994,0.6582045403347878,0.4348185658454895,0.7308958172798157,0.7803269624710083,0.2664433419704437,4.298023864584027,2.879886399284339,2.203687931792225,1.7316487518436252,1.4301171769083691,1.2067126090264755,1.0347022647087873,15,122,76,True,1.74079808580445,2.541787061938003,0.11498212593340901,0.23994182002677145,4.043525615546403,3.782324060837988,0.7407980858044501
