model_a,model_b,E_mu_over_row_norm,E_rank1_energy_frac,E_rank1_centered_energy_frac,E_isotropy_pr_over_d,E_isotropy_pr_over_d_centered,E_cos_v1_mu,U_mu_over_row_norm,U_rank1_energy_frac,U_rank1_centered_energy_frac,U_isotropy_pr_over_d,U_isotropy_pr_over_d_centered,U_cos_v1_mu,E_identity_R2,E_full_affine_R2,E_one_minus_identity_R2,E_delta_affine_R2,E_P_over_D,E_R_over_D,E_delta_over_Yc,U_identity_R2,U_full_affine_R2,U_one_minus_identity_R2,U_delta_affine_R2,U_P_over_D,U_R_over_D,U_delta_over_Yc,U_over_E_P_over_D,U_minus_E_rank1,U_minus_E_rank1c
Qwen3-8B-Base,Qwen3-8B,0.1308478846268105,0.0173288490623235,0.005418480373919,0.340412437915802,0.5625405311584473,0.9977790117263794,0.2237159777130478,0.0551407858729362,0.0076033161021769,0.0737136155366897,0.6839843988418579,0.9993927478790284,0.9953341716367314,0.9956756081056806,0.004665828363268565,0.00034143646894913005,0.0731781030860501,0.9268218969139499,0.004665828363268554,0.9916613926048998,0.9942313860123364,0.008338607395100173,0.002569993407436577,0.30820415036529253,0.6917958496347074,0.008338607395100202,4.211699092594343,0.0378119368106127,0.0021848357282579006
Qwen3-14B-Base,Qwen3-14B,0.1444325630068563,0.0220205448567867,0.0078656794503331,0.1996878385543823,0.3661536931991577,0.9887155294418336,0.1370110045359622,0.0225577112287282,0.0058001042343676,0.2642038583755493,0.7278173923492431,0.9943681359291076,0.995181645320977,0.9955615089847863,0.004818354679023029,0.00037986366380937664,0.07883679992740748,0.9211632000725926,0.0048183546790230795,0.9907810132168415,0.9937198291009526,0.009218986783158467,0.0029388158841110457,0.31877861995417894,0.6812213800458211,0.009218986783158512,4.043525615546403,0.0005371663719415005,-0.002065575215965499
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,0.0945915977933632,0.0098911253735423,0.0040842578746378,0.5833419561386108,0.6444350481033325,0.983981430530548,0.2615201334708862,0.0760080143809318,0.010639825835824,0.0778093859553337,0.7138936519622803,0.9992400407791138,0.9917874672256084,0.9921235164840164,0.008212532774391601,0.00033604925840802213,0.04091907668921381,0.9590809233107862,0.008212532774391657,0.9919979790427884,0.9944893593020327,0.008002020957211586,0.0024913802592443357,0.3113438808228835,0.6886561191771166,0.008002020957211543,7.608770920897958,0.0661168890073895,0.006555567961186201
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,0.1071324206376637,0.0116186644881963,0.004389090463519,0.5401891469955444,0.7506106495857239,0.9979202747344972,0.2840783259994214,0.0907668322324752,0.0131937591359019,0.0287586357444524,0.5220208168029785,0.9993078708648682,0.9985479709321446,0.9985904528713182,0.0014520290678553538,4.248193917355536e-05,0.029256948165883003,0.970743051834117,0.0014520290678553445,0.9977631099964671,0.9982332053666256,0.0022368900035328876,0.00047009537015851866,0.21015578299160945,0.7898442170083906,0.0022368900035329075,7.183106788857612,0.0791481677442789,0.008804668672382901
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,0.1535594690498232,0.0237720813602209,0.006794259417802,0.3734180927276611,0.6252506971359253,0.9987086653709412,0.3207057285626289,0.1162871494889259,0.0179460402578115,0.0349019207060337,0.5456565618515015,0.9991360306739808,0.9986870899262132,0.998713360923914,0.001312910073786755,2.6270997700805765e-05,0.020009746459619213,0.9799902535403808,0.001312910073786729,0.9985144613508695,0.9988217800160366,0.00148553864913048,0.00030731866516708894,0.20687355751194766,0.7931264424880523,0.00148553864913053,10.338639618919213,0.09251506812870501,0.011151780840009501
Qwen2.5-7B,Qwen2.5-7B-Instruct,0.1035031148630458,0.0154051538556814,0.0121203893795609,0.2459989275251116,0.2799153498240879,0.8121377229690552,0.2725699325408264,0.0975865498185157,0.0296808630228042,0.0283451548644474,0.2246222155434744,0.9963102340698242,0.9997140644190229,0.999723155960061,0.0002859355809771147,9.091541038119821e-06,0.03179576674935525,0.9682042332506448,0.00028593558097710867,0.9986040546735593,0.9992492212327131,0.0013959453264407173,0.0006451665591538092,0.4621717963688637,0.5378282036311364,0.0013959453264406666,14.53563928846709,0.08218139596283429,0.0175604736432433
Qwen2.5-14B,Qwen2.5-14B-Instruct,0.066920584852056,0.0061350897885859,0.0061475331895053,0.3554973363876342,0.3682886838912964,0.1213263347744941,0.1220463179337183,0.0195304881781339,0.0059916437603533,0.322005009651184,0.734822130203247,0.9935144186019896,0.9998309539329064,0.9998389459322984,0.00016904606709355896,7.991999391943061e-06,0.04727705015169363,0.9527229498483064,0.00016904606709352654,0.9994339221069276,0.9997092731253961,0.000566077893072392,0.00027535101846853927,0.48641895724648104,0.513581042753519,0.0005660778930723654,10.288690933248843,0.013395398389547997,-0.00015588942915199973
Qwen2.5-32B,Qwen2.5-32B-Instruct,0.0567488557433405,0.0062962244264781,0.0061076441779732,0.3139729261398315,0.3199366331100464,0.3822409510612488,0.152572239081673,0.0325524508953094,0.0111602591350674,0.1500787019729614,0.5197639465332031,0.9941775798797609,0.9998697145588493,0.9998761121589204,0.0001302854411506793,6.397600071039733e-06,0.049104489454442984,0.950895510545557,0.00013028544115068803,0.999423271810446,0.9997200530563881,0.00057672818955401,0.00029678124594212374,0.5145946588315692,0.4854053411684308,0.0005767281895540097,10.479584749760768,0.0262562264688313,0.0050526149570942
Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,0.0674910708742488,0.0066692559048533,0.0036803814582526,0.1668302118778228,0.1738251596689224,0.9607757329940796,0.2279326345362579,0.0691377148032188,0.021581819280982,0.0248204581439495,0.1987400501966476,0.9957516193389891,0.9996624244489689,0.9996872173529736,0.0003375755510310885,2.4792904004700134e-05,0.07344401550690643,0.9265559844930935,0.000337575551031072,0.9986657799103109,0.9993069179084212,0.0013342200896890866,0.0006411379981102749,0.4805339112077239,0.5194660887922762,0.0013342200896891412,6.54285999875015,0.0624684588983655,0.0179014378227294
Llama-3.1-8B,Llama-3.1-8B-Instruct,0.1272633830363647,0.0165946278721094,0.0061713568866252,0.3795229792594909,0.6361212730407715,0.9953731298446656,0.2442768686976915,0.0814350545406341,0.0256299134343862,0.0354812853038311,0.2612351477146148,0.9970577955245972,0.9983613905763074,0.9984405299580954,0.0016386094236926496,7.913938178805147e-05,0.048296671948622666,0.9517033280513774,0.0016386094236926546,0.9958805523003553,0.9975749042033049,0.004119447699644674,0.0016943519029495313,0.4113055988296016,0.5886944011703984,0.00411944769964468,8.516230668381102,0.0648404266685247,0.019458556547761
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,0.0942565778104027,0.0095789562910795,0.004161394201219,0.3089419305324554,0.391406387090683,0.990681529045105,0.1263936594643647,0.0263287480920553,0.0117124281823635,0.1446907371282577,0.4210421144962311,0.9898083209991456,0.9984301656151496,0.998559587945804,0.001569834384850366,0.0001294223306543829,0.08244330223834276,0.9175566977616573,0.0015698343848503684,0.9950256673885755,0.9974053026118898,0.004974332611424548,0.0023796352233143026,0.4783828121684043,0.5216171878315957,0.004974332611424567,5.802567330277533,0.0167497918009758,0.007551033981144499
DeepSeek-V3-Base,DeepSeek-V3,0.0787857830474802,0.0084217973053455,0.0074272421188652,0.1855937412806919,0.1949271985462733,0.6771398782730103,0.0799915362655317,0.0111876968294382,0.009469018317759,0.2930827481406076,0.3439663478306362,0.7975395321846008,0.9999947955812982,0.9999951093241175,5.204418701776348e-06,3.1374281928009395e-07,0.06028393127065296,0.9397160687293471,5.204418701775048e-06,0.9999976813016844,0.9999979631955018,2.3186983155731866e-06,2.8189381739984753e-07,0.12157416748624102,0.8784258325137589,2.318698315589361e-06,2.0166927558260452,0.0027658995240927003,0.0020417761988938002
DeepSeek-V3.1-Base,DeepSeek-V3.1,0.0788656360152747,0.0084400810301303,0.0074429321102797,0.185185432434082,0.1945155688694545,0.6771366596221924,0.0794223562472808,0.0110574997961521,0.0094168744981288,0.2963315759386335,0.3465773718697684,0.7921059131622314,0.9999847219928868,0.9999856466553142,1.527800711320637e-05,9.246624274039661e-07,0.060522450379373934,0.939477549620626,1.5278007113195224e-05,0.9999883609539282,0.9999896618259729,1.1639046071820758e-05,1.3008720447515998e-06,0.11176792640086654,0.8882320735991335,1.1639046071799036e-05,1.8467184606748355,0.0026174187660217996,0.001973942387849101
