model_a,model_b,hidden_dim,vocab,identity_R2,full_affine_R2,delta_over_Yc_energy,full_affine_gain_over_delta,D_energy_at_1,P_energy_at_1,R_energy_at_1,P_abs_delta_energy_at_1,D_energy_at_2,P_energy_at_2,R_energy_at_2,P_abs_delta_energy_at_2,D_energy_at_4,P_energy_at_4,R_energy_at_4,P_abs_delta_energy_at_4,D_energy_at_8,P_energy_at_8,R_energy_at_8,P_abs_delta_energy_at_8,D_energy_at_16,P_energy_at_16,R_energy_at_16,P_abs_delta_energy_at_16,D_energy_at_32,P_energy_at_32,R_energy_at_32,P_abs_delta_energy_at_32,D_energy_at_64,P_energy_at_64,R_energy_at_64,P_abs_delta_energy_at_64,D_energy_at_128,P_energy_at_128,R_energy_at_128,P_abs_delta_energy_at_128,D_energy_at_256,P_energy_at_256,R_energy_at_256,P_abs_delta_energy_at_256,D_energy_at_512,P_energy_at_512,R_energy_at_512,P_abs_delta_energy_at_512,D_energy_at_1024,P_energy_at_1024,R_energy_at_1024,P_abs_delta_energy_at_1024,D_energy_at_2048,P_energy_at_2048,R_energy_at_2048,P_abs_delta_energy_at_2048,D_energy_at_4096,P_energy_at_4096,R_energy_at_4096,P_abs_delta_energy_at_4096
Qwen3-0.6B-Base,Qwen3-0.6B,1024,151936,0.9821210165079378,0.9876894496558482,0.017878983492062236,0.31145132777725315,0.036353117161560346,0.08552911587489864,0.036855683325943515,0.026638156702851724,0.06108203007157744,0.14466638830381767,0.05843659265308915,0.0450565387219637,0.10595373325990172,0.2372623868317159,0.07700280569757029,0.07389568541033818,0.1643640307797008,0.35704044379202127,0.0998248863476629,0.11120072028920475,0.2284636124079204,0.4766189961066394,0.13256040915258466,0.14844361918127427,0.2937672277659719,0.584901099271981,0.17836943360071542,0.18216822398663343,0.3709204788035151,0.6819461620553138,0.24674776418042055,0.21239303764472933,0.4706164705541766,0.7680429059937982,0.3532917362373162,0.23920798286166847,0.6079077068497953,0.8525934082410956,0.5129669401941985,0.2655413490508229,0.7886035793545049,0.9346886247495126,0.7340926979285848,0.2911100132365304,0.9999998851195068,0.9999998155723173,0.9999999165777872,0.3114512703370065,0.9999998851195068,0.9999998155723173,0.9999999165777872,0.3114512703370065,0.9999998851195068,0.9999998155723173,0.9999999165777872,0.3114512703370065
Qwen3-1.7B-Base,Qwen3-1.7B,2048,151936,0.9912145794555884,0.9938152295635724,0.008785420544411506,0.29601885246555293,0.04074683665036411,0.1170544401814217,0.021066514580775235,0.034650321058502166,0.06920953684214017,0.18835328155025433,0.03676593733442918,0.05575612226262749,0.1064899761892599,0.2854857967726418,0.053349772558120546,0.08450917795585147,0.15244341366599257,0.3783879706030582,0.07388098236408557,0.11200997284468665,0.20192077277643716,0.47485467099278494,0.10080592474936419,0.1405659347951919,0.25145310495382933,0.5582473286388664,0.13649679782380775,0.16525173361563764,0.3098853101937713,0.6366249369359661,0.18730205804674765,0.18845298328273968,0.3845879443926011,0.7077729697448673,0.2644366543130176,0.2095141423100121,0.4866828979005855,0.7812378514632122,0.3791189142277519,0.23126113229279419,0.623045199191207,0.8583839523755353,0.5395007404562789,0.2540978325570518,0.7990552607034042,0.9382657287335008,0.7536648211711726,0.27774434432744666,1.000000078955931,0.9999999333184945,0.9999998878436415,0.2960188327265702,1.000000078955931,0.9999999333184945,0.9999998878436415,0.2960188327265702
Qwen3-4B-Base,Qwen3-4B,2560,151936,0.9859308098198453,0.9901264025115812,0.014069190180154734,0.29821138516231127,0.030960467630730345,0.09128858819512982,0.0158231006066519,0.02722329633518148,0.05140455666052181,0.14526581567267127,0.022946431090985035,0.043319920108480285,0.08619537433800709,0.2294648004667466,0.03434559965372239,0.06842901599318188,0.12820657295307197,0.3332557304432079,0.05007994168973847,0.09938065298874685,0.17364498160061298,0.4351032242041462,0.07187726862398841,0.12975273517850613,0.22190082466006422,0.5265944612857932,0.10351998050738107,0.1570364637188375,0.28009156266015145,0.6139589381969459,0.1507795006348566,0.18308954539249309,0.35343387369071616,0.6949619023885706,0.22202596824227228,0.2072455515463306,0.44975599173832037,0.7746374989918647,0.3265001853575022,0.23100572157303248,0.5756924223235843,0.8525574864652834,0.4726515319067013,0.2542423489693106,0.7384486370299451,0.9291837740657799,0.6710551081891919,0.2770931803345003,0.9370829024929999,0.9909291000050817,0.9202097547895003,0.29550633951015787,1.0,1.0000000842746317,0.9999999283780904,0.2982114102939659
Qwen3-8B-Base,Qwen3-8B,4096,151936,0.9953341716367314,0.9956756081056806,0.004665828363268554,0.0731781030860501,0.0066151654881384655,0.006875574783118767,0.006744135860239768,0.0005031415202549117,0.012353895191548695,0.011178555900865873,0.012579752248587544,0.0008180255160667365,0.019147429751885995,0.017453584357380043,0.01945384042519298,0.0012772201953254285,0.030230339742516005,0.027644000000750586,0.030693240137467836,0.0020229354817656955,0.04787593587841055,0.04314439602760948,0.0487056102135978,0.0031572250600937772,0.07766114456587211,0.06949638068417228,0.07913098667232558,0.005085613309813741,0.1275108464082851,0.11444898506037697,0.13002036235693393,0.008375159626842075,0.2064549487374946,0.18855828584638848,0.21057284175799834,0.013798337679395919,0.32853699950487225,0.30668276794346,0.33499983785592047,0.022442463207281698,0.511797336504588,0.4795522541537316,0.5209339385195164,0.035092724289609474,0.6961913305718436,0.6910740556152687,0.7057181200086173,0.05057148848190886,0.8608802692566809,0.9073108378318332,0.8660759122548306,0.06639528602194839,1.0000001757641919,0.9999999249416046,1.0000000948210992,0.07317809759341912
Qwen3-14B-Base,Qwen3-14B,5120,151936,0.995181645320977,0.9955615089847863,0.0048183546790230795,0.07883679992740748,0.007882046113899848,0.008975982532791825,0.007971221163773865,0.0007076377390896134,0.014894044758861427,0.014264643061398165,0.01506636485850175,0.0011245788110673285,0.02315604013871271,0.021427454140845677,0.023478075611212117,0.0016892719150555498,0.036815342257921074,0.03405937831048709,0.03740340727711716,0.0026851323935157523,0.06001419799384093,0.0538453709446953,0.0610907156027389,0.004244996736183984,0.09994226108381989,0.08697551586511525,0.10188849716660155,0.006856871342841146,0.16529059034511945,0.14221514849041042,0.16866642762081183,0.011211787208185033,0.2636911781261566,0.2293990879211641,0.26910436385054437,0.018085089997970573,0.40797486069804034,0.36165723524535776,0.4159596880400502,0.02851189909733761,0.6030012752638351,0.5397177110630005,0.6132109144699518,0.04254961720435209,0.7485627866943332,0.7285052097682819,0.7575825699398169,0.05743301946857606,0.8886154746319638,0.9185810093819707,0.8920141857944225,0.07241798725376244,0.983409050946922,0.9978209178158941,0.9832944142974627,0.07866500806123375
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,2048,151936,0.9917874672256084,0.9921235164840164,0.008212532774391657,0.04091907668921381,0.0021438945764080974,0.0037650168271490475,0.002130369834439844,0.00015406101228629233,0.004135044700958225,0.0069253975427629065,0.004132397991508371,0.00028338087315560827,0.007634719081837228,0.012535979766382817,0.007617831611391995,0.0005129607174350512,0.013979247863574157,0.022359299726258025,0.013919359203454646,0.0009149219002158695,0.025549628229511193,0.039483305728543805,0.025457502399914213,0.001615620415049959,0.04687705342134702,0.0689466890950612,0.04683227456864116,0.0028212348585481906,0.08629054205696134,0.11959588425796347,0.08648224383128415,0.004893753159665946,0.1578886085438524,0.20416118458252405,0.15860173160512572,0.008354087168893038,0.28155911944665213,0.3404997999768171,0.28320543742126814,0.013932937427913343,0.47614499931167004,0.548471430611039,0.4789790312301559,0.022442944531015915,0.7342272946549732,0.8131940733767024,0.7372448411871055,0.03327515065171545,0.9999998843142903,1.0000000883494624,0.9999998793785656,0.04091908030439224,0.9999998843142903,1.0000000883494624,0.9999998793785656,0.04091908030439224
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,1024,248320,0.9975700738204689,0.997860103859318,0.0024299261795311103,0.11935755139071841,0.022172663093756904,0.11603180549920931,0.013019331987349307,0.013849272187829718,0.040208192809212756,0.19854089219330856,0.022650524920304758,0.023697354743121908,0.06268264182816861,0.2846716163966187,0.03820934039002416,0.03397770708353829,0.09485430514518296,0.380102499565329,0.061616456719491605,0.04536810362560928,0.13748338415918826,0.48463595267467563,0.09683054875032654,0.05784496062715737,0.19661561787052553,0.6001460908586616,0.1498997132676979,0.07163196788160145,0.27817646967675264,0.7079747642427203,0.22844576998036684,0.08450213430643223,0.39287397638752053,0.7993782962552057,0.34611158590612884,0.09541183607590564,0.5551707974828829,0.8826740960912727,0.5180792167557955,0.10535381878547,0.7648368568323658,0.9560759556552769,0.7435480743421271,0.11411488501055493,1.0,1.0000001655889585,1.0000000897721673,0.11935757115501104,1.0,1.0000001655889585,1.0000000897721673,0.11935757115501104,1.0,1.0000001655889585,1.0000000897721673,0.11935757115501104
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,2048,248320,0.9961489055099909,0.9965920495136669,0.0038510944900091095,0.11506962626484923,0.019254345819014754,0.10183327566553989,0.00968012367927656,0.01171791697215904,0.02908009498632252,0.16021138448350875,0.014407871563720758,0.01843546413589142,0.042321767041189944,0.2191411412223307,0.02252853344387962,0.02521648921970614,0.06143099687992918,0.29549713449552223,0.03602232913307529,0.03400274482873363,0.08939649395615196,0.37881867810603104,0.057551500966348944,0.04359052371180522,0.13052537045620402,0.4784729074484228,0.09238292397945827,0.05505769863794581,0.19006793650349893,0.5852824723456157,0.14691895488682843,0.06734823535217696,0.27549788083044374,0.6871712785315536,0.23030323592533425,0.07907254220056449,0.39645943643710174,0.7859182933320692,0.35434348470071114,0.09043532428842935,0.5601771108549928,0.8779797019860529,0.525657176034238,0.10102879617565881,0.7672132771176225,0.9577406027035933,0.7477276882039934,0.11020685321177394,1.0,0.9999998148211074,1.0,0.11506960495638327,1.0,0.9999998148211074,1.0,0.11506960495638327
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,2560,248320,0.9967907101000678,0.997175886644525,0.0032092898999321936,0.12001924303107303,0.019837492091447625,0.10859486745593269,0.008700324847348716,0.01303347378912075,0.029521676933657752,0.16257435416514407,0.013044255474582094,0.019512050923166165,0.04110850241042607,0.21291447407773761,0.020453564082599004,0.02555383400916909,0.05819954805923765,0.27580685685339174,0.03267586275500161,0.033102130182323594,0.08290769319522366,0.35089462550561473,0.051848827330610144,0.04211410733685573,0.11989330723279881,0.44128948893813763,0.08260349802555673,0.05296323041992435,0.17367708848968894,0.540113074936971,0.13138248332213653,0.06482396240512049,0.251875038399759,0.6428479021609456,0.20674933327075268,0.07715411860146998,0.36135639866871244,0.7477060946205406,0.3163794611197782,0.08973911948607716,0.5062744949365744,0.847276766830667,0.46644990522999213,0.10168951619283162,0.6961191020281854,0.9363726627707362,0.6691700683226725,0.11238273818073398,0.9285365844136123,0.9949573620213867,0.9218331907755168,0.11941402943800013,0.9999998972581698,0.9999998929944196,1.0000001167549684,0.12001923018834428
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,4096,248320,0.9985479709321446,0.9985904528713182,0.0014520290678553445,0.029256948165883003,0.0047963534283812755,0.005117072610272904,0.004801682886365973,0.00014970992811981398,0.00842916277716314,0.008999808286798703,0.00844804572056013,0.00026330692454975396,0.013836301960886,0.014990896796488486,0.013871382001958373,0.0004385878905349652,0.021958591913290002,0.02419028580384632,0.022014325227030382,0.0007077339378810273,0.034868401529295164,0.037839680648997696,0.03498378519781151,0.0011070735753612917,0.05565607641289817,0.06027282560347306,0.05587286776523562,0.0017633989344921172,0.08915267885953994,0.09778593448118449,0.08952699273517029,0.002860918016468446,0.13921377287604297,0.15946903959895067,0.1398016423923958,0.004665577425609644,0.21392674192135713,0.260672314401095,0.21481836382367905,0.007626476390713594,0.33166554303231455,0.419826014672834,0.332963556421089,0.012282827949972342,0.5058282049509059,0.6437005960950362,0.5074804809788822,0.018832714974300464,0.730977965242244,0.8890758911313361,0.7325178237279781,0.02601164726236574,1.0,1.0,1.0,0.029256948165883003
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,2048,248320,0.9986870899262132,0.998713360923914,0.001312910073786729,0.020009746459619213,0.005124733794197004,0.0066758685923695195,0.005148390243093925,0.0001335824379310491,0.010035600716208572,0.011577042718774425,0.010059999583023525,0.00023165368955485694,0.017978612507954073,0.02034649425011541,0.018024028605332774,0.0004071281912869095,0.029666648454398516,0.03451759730925512,0.029734822933571728,0.0006906883705534293,0.04854907182550289,0.056734432347442944,0.048654967160396176,0.001135241606802752,0.08023172370539308,0.09413557763943928,0.0803974226299591,0.0018836290413949796,0.13193058810127098,0.1568165613130579,0.1321669184826297,0.0031378596325436197,0.20873525620253028,0.2560842566057398,0.20904792661154314,0.00512418104698092,0.3127087658213516,0.4068575258127768,0.3130879433622758,0.008141115936701642,0.4666108214017064,0.6221211155141759,0.4670220510748026,0.012448485788614136,0.6998598210195597,0.869891206972992,0.7001953331335927,0.017406302498981712,1.0,1.0000002285327738,0.9999999253399329,0.020009751032502073,1.0,1.0000002285327738,0.9999999253399329,0.020009751032502073
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,896,151936,0.986895013765239,0.9902607088315583,0.013104986234760993,0.25682553236047584,0.12014422836083208,0.4037289570484628,0.02479656016264596,0.10368790432331114,0.14315258599936825,0.47983550835368666,0.03195619074295165,0.12323400987839513,0.16040637014898998,0.5273795625690497,0.039386072169757334,0.13544453691283107,0.18069604705909365,0.5795133400778012,0.04999738668649226,0.14883382207547877,0.20363520922883394,0.6281419555288411,0.06509971667088346,0.16132289212664497,0.23176174859700072,0.6717479036415894,0.0904375940441788,0.17252201296478484,0.2745168297295304,0.716820392561896,0.1371549431457665,0.1840977789265542,0.34994539156655846,0.7731401142044421,0.2247661578109593,0.19856212141979493,0.4858306813295688,0.8467785288876284,0.38547408447282483,0.21747434647298572,0.721536995626455,0.9374074999047591,0.6682509895045,0.24075018020174246,1.0000001739399058,0.999999915341407,0.9999998829750458,0.25682551061798764,1.0000001739399058,0.999999915341407,0.9999998829750458,0.25682551061798764,1.0000001739399058,0.999999915341407,0.9999998829750458,0.25682551061798764
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,1536,151936,0.9992619361598801,0.9996813394217751,0.0007380638401198979,0.5682479469889921,0.5729875186266705,0.8150416737195413,0.2563942502616913,0.4631457578016013,0.6016871606553689,0.8385556495088456,0.2943850526614449,0.47650752626942233,0.6256941284327329,0.8597684854303023,0.324286130401607,0.4885616767316044,0.6541283689465949,0.8857999388488662,0.3570976480098448,0.503353996693843,0.6834786669080879,0.909652452620946,0.39309424497330203,0.5169081386753539,0.7142037034003432,0.9294710197327846,0.43794675347459766,0.5281699987489198,0.7474909173462198,0.9472585502844344,0.49121145246871245,0.5382777264668988,0.7846608289689287,0.962279164237225,0.557585061223599,0.5468131595080863,0.830697245985417,0.975880252967214,0.6466326390993286,0.5545419502557176,0.8878618981423562,0.9877970705877206,0.7628589704093633,0.5613136574032127,0.9571631154883293,0.9972845529098258,0.9083304722867415,0.5667048997548433,1.000000217453105,0.9999998724423577,1.0000001678853745,0.5682478745046237,1.000000217453105,0.9999998724423577,1.0000001678853745,0.5682478745046237
Qwen2.5-3B,Qwen2.5-3B-Instruct,2048,151936,0.99939970077849,0.9997321509660977,0.0006002992215099569,0.5538074608382879,0.5176088965397616,0.7835863208213488,0.18940905020690532,0.43395595068168724,0.5492800360300647,0.8133975477898593,0.22436798656159632,0.4504656305935919,0.5735724514316054,0.837548363242704,0.25212196971848516,0.4638405323767059,0.6014469645960039,0.8667866105818718,0.2797979352905111,0.4800328918949723,0.6307701791581849,0.8924670541760518,0.3133619523107071,0.494254913155066,0.66217871123792,0.9146849887345636,0.35596124514060706,0.5065593710779867,0.6965087228074052,0.9347075108584485,0.40775464722519683,0.5176479932149938,0.7355573191920398,0.952140385796862,0.4739255875960393,0.527302449419748,0.7839542325151208,0.9679766032645033,0.5634635464087687,0.5360726648047853,0.8434753239601197,0.9819350573285838,0.6793154416346605,0.5438029608072417,0.915908679409723,0.9937057709897197,0.8255810806521401,0.5503216698521699,1.0,0.9999998654029529,0.9999999164693952,0.5538073862974391,1.0,0.9999998654029529,0.9999999164693952,0.5538073862974391
