series,model_a,model_b,hidden_a,hidden_b,gcorr_E_euc,gcorr_E_cos
gemma2,Gemma-2-9B-Instruct,Gemma-2-27B-Instruct,3584,4608,0.0912,0.3680
gemma2,Gemma-2-2B-Instruct,Gemma-2-27B-Instruct,2304,4608,0.1045,0.3924
llama,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,8192,2048,0.3536,0.1782
llama,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,4096,2048,0.3594,0.0740
qwen3.5_dense,Qwen3.5-2B-Instruct,Qwen3.5-9B-Instruct,2048,4096,0.3765,0.1575
qwen3.5_dense,Qwen3.5-2B-Instruct,Qwen3.5-27B-Instruct,2048,5120,0.4138,0.2267
qwen3.5_dense,Qwen3.5-4B-Instruct,Qwen3.5-9B-Instruct,2560,4096,0.4229,0.1617
llama,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,4096,3072,0.4235,0.0565
qwen3.5_dense,Qwen3.5-0.8B-Instruct,Qwen3.5-9B-Instruct,1024,4096,0.4273,0.1802
llama,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,8192,3072,0.4339,0.1586
qwen3.5_dense,Qwen3.5-4B-Instruct,Qwen3.5-27B-Instruct,2560,5120,0.4435,0.2305
qwen3.5_dense,Qwen3.5-0.8B-Instruct,Qwen3.5-27B-Instruct,1024,5120,0.4676,0.2432
qwen2.5,Qwen2.5-1.5B-Instruct,Qwen2.5-72B-Instruct,1536,8192,0.5140,0.1431
qwen3,Qwen3-0.6B,Qwen3-32B,1024,5120,0.5140,0.1213
qwen2.5,Qwen2.5-0.5B-Instruct,Qwen2.5-72B-Instruct,896,8192,0.5164,0.1177
qwen3,Qwen3-0.6B,Qwen3-235B-A22B,1024,4096,0.5223,0.1487
qwen3,Qwen3-0.6B,Qwen3-14B,1024,5120,0.5267,0.0985
qwen2.5,Qwen2.5-3B-Instruct,Qwen2.5-72B-Instruct,2048,8192,0.5559,0.1438
qwen2.5,Qwen2.5-0.5B-Instruct,Qwen2.5-32B-Instruct,896,5120,0.5604,0.1522
qwen3,Qwen3-0.6B,Qwen3-8B,1024,4096,0.5725,0.1470
qwen2.5,Qwen2.5-1.5B-Instruct,Qwen2.5-32B-Instruct,1536,5120,0.5752,0.1656
qwen2.5,Qwen2.5-0.5B-Instruct,Qwen2.5-14B-Instruct,896,5120,0.5866,0.1496
qwen3,Qwen3-0.6B,Qwen3-30B-A3B,1024,2048,0.5945,0.1587
qwen3,Qwen3-1.7B,Qwen3-32B,2048,5120,0.5973,0.1196
qwen2.5,Qwen2.5-1.5B-Instruct,Qwen2.5-14B-Instruct,1536,5120,0.6044,0.1581
qwen3,Qwen3-1.7B,Qwen3-14B,2048,5120,0.6117,0.0990
qwen2.5,Qwen2.5-1.5B-Instruct,Qwen2.5-7B-Instruct,1536,3584,0.6199,0.0901
qwen2.5,Qwen2.5-3B-Instruct,Qwen2.5-32B-Instruct,2048,5120,0.6231,0.1707
qwen2.5,Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,896,3584,0.6238,0.0586
qwen3,Qwen3-1.7B,Qwen3-235B-A22B,2048,4096,0.6255,0.1508
gemma3,Gemma-3-1B-Instruct,Gemma-3-27B-Instruct,1152,5376,0.6291,0.4510
qwen3,Qwen3-4B,Qwen3-32B,2560,5120,0.6315,0.0958
qwen3,Qwen3-4B,Qwen3-14B,2560,5120,0.6525,0.0734
qwen2.5,Qwen2.5-3B-Instruct,Qwen2.5-14B-Instruct,2048,5120,0.6534,0.1652
qwen3,Qwen3-4B,Qwen3-235B-A22B,2560,4096,0.6581,0.1206
qwen3,Qwen3-1.7B,Qwen3-8B,2048,4096,0.6592,0.1399
qwen2.5,Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,2048,3584,0.6646,0.0919
gemma3,Gemma-3-1B-Instruct,Gemma-3-12B-Instruct,1152,3840,0.6712,0.5145
gemma4,Gemma-4-E2B-Instruct,Gemma-4-31B-Instruct,1536,5376,0.6892,0.7369
qwen3,Qwen3-4B,Qwen3-8B,2560,4096,0.6967,0.1296
qwen3,Qwen3-32B,Qwen3-30B-A3B,5120,2048,0.7247,0.3213
gemma4,Gemma-4-E4B-Instruct,Gemma-4-31B-Instruct,2560,5376,0.7368,0.7428
qwen3,Qwen3-4B,Qwen3-30B-A3B,2560,2048,0.7438,0.1251
qwen3,Qwen3-14B,Qwen3-30B-A3B,5120,2048,0.7471,0.3093
gemma3,Gemma-3-1B-Instruct,Gemma-3-4B-Instruct,1152,2560,0.7593,0.6678
gemma4,Gemma-4-26B-A4B-Instruct,Gemma-4-31B-Instruct,2816,5376,0.7595,0.7603
gemma2,Gemma-2-2B-Instruct,Gemma-2-9B-Instruct,2304,3584,0.7620,0.6971
gemma4,Gemma-4-E2B-Instruct,Gemma-4-26B-A4B-Instruct,1536,2816,0.7948,0.7360
qwen3,Qwen3-8B,Qwen3-30B-A3B,4096,2048,0.7995,0.2910
deepseek_r1_distill_qwen,DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-32B,1536,5120,0.8087,0.1610
deepseek_r1_distill_qwen,DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-14B,1536,5120,0.8181,0.1535
gemma3,Gemma-3-4B-Instruct,Gemma-3-27B-Instruct,2560,5376,0.8307,0.7112
gemma4,Gemma-4-E4B-Instruct,Gemma-4-26B-A4B-Instruct,2560,2816,0.8583,0.7596
qwen2.5,Qwen2.5-0.5B-Instruct,Qwen2.5-3B-Instruct,896,2048,0.8623,0.8481
gemma3,Gemma-3-4B-Instruct,Gemma-3-12B-Instruct,2560,3840,0.8636,0.7562
deepseek_r1_distill_qwen,DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-14B,3584,5120,0.8672,0.2530
deepseek_r1_distill_qwen,DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-32B,3584,5120,0.8716,0.2637
qwen3.5_dense,Qwen3.5-0.8B-Instruct,Qwen3.5-4B-Instruct,1024,2560,0.8738,0.9150
deepseek_r1_distill_llama,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-70B,4096,8192,0.8777,0.4045
qwen3,Qwen3-30B-A3B,Qwen3-235B-A22B,2048,4096,0.8794,0.3808
qwen3,Qwen3-32B,Qwen3-235B-A22B,5120,4096,0.8818,0.3048
llama,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,8192,4096,0.8850,0.4104
qwen2.5,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,896,1536,0.8886,0.8509
qwen3,Qwen3-14B,Qwen3-235B-A22B,5120,4096,0.8901,0.2898
deepseek_r1_distill_qwen,DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-7B,1536,3584,0.8974,0.2235
qwen3,Qwen3-0.6B,Qwen3-4B,1024,2560,0.9001,0.8844
gemma3,Gemma-3-12B-Instruct,Gemma-3-27B-Instruct,3840,5376,0.9156,0.8345
qwen3.5_dense,Qwen3.5-0.8B-Instruct,Qwen3.5-2B-Instruct,1024,2048,0.9157,0.9319
gemma4,Gemma-4-E2B-Instruct,Gemma-4-E4B-Instruct,1536,2560,0.9179,0.7683
qwen3.5_moe,Qwen3.5-35B-A3B-Instruct,Qwen3.5-397B-A17B-Instruct,2048,4096,0.9307,0.4143
qwen3,Qwen3-0.6B,Qwen3-1.7B,1024,2048,0.9323,0.8571
qwen3.5_moe,Qwen3.5-35B-A3B-Instruct,Qwen3.5-122B-A10B-Instruct,2048,3072,0.9359,0.4117
qwen2.5,Qwen2.5-7B-Instruct,Qwen2.5-72B-Instruct,3584,8192,0.9379,0.2782
qwen2.5,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,5120,8192,0.9502,0.2765
qwen2.5,Qwen2.5-32B-Instruct,Qwen2.5-72B-Instruct,5120,8192,0.9555,0.3011
qwen3.5_dense,Qwen3.5-2B-Instruct,Qwen3.5-4B-Instruct,2048,2560,0.9587,0.9486
llama,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,2048,3072,0.9588,0.9485
qwen2.5,Qwen2.5-7B-Instruct,Qwen2.5-32B-Instruct,3584,5120,0.9621,0.3133
qwen3.5_dense,Qwen3.5-9B-Instruct,Qwen3.5-27B-Instruct,4096,5120,0.9621,0.4082
deepseek_v4_moe,DeepSeek-V4-Flash,DeepSeek-V4-Pro,4096,7168,0.9640,0.7834
qwen3.5_moe,Qwen3.5-122B-A10B-Instruct,Qwen3.5-397B-A17B-Instruct,3072,4096,0.9668,0.4988
qwen3,Qwen3-1.7B,Qwen3-4B,2048,2560,0.9669,0.8742
qwen2.5,Qwen2.5-7B-Instruct,Qwen2.5-14B-Instruct,3584,5120,0.9711,0.3057
qwen2.5,Qwen2.5-1.5B-Instruct,Qwen2.5-3B-Instruct,1536,2048,0.9715,0.9153
qwen3,Qwen3-8B,Qwen3-32B,4096,5120,0.9795,0.3528
qwen3,Qwen3-8B,Qwen3-14B,4096,5120,0.9878,0.3475
