model_a,model_b,source_tasks,align_mode,n_common,n_fit,hidden_dim_a,hidden_dim_b,vocab_size_a,vocab_size_b,actual_tied_a,actual_tied_b,R2_E,rel_err_E,norm_A_E,norm_b_E,R2_U,rel_err_U,norm_A_U,norm_b_U
Qwen3.5-0.8B-Base,Qwen3.5-0.8B-Instruct,task1_base_instruct,id,248044,24000,1024,1024,248320,248320,True,True,0.9979493017073119,0.04063213883953085,31.689210891723633,0.007835457101464272,0.9979493017073119,0.04063213883953085,31.689210891723633,0.007835457101464272
Qwen3-0.6B-Base,Qwen3-0.6B,task1_base_instruct,id,151643,24000,1024,1024,151936,151936,True,True,0.9886934220219747,0.10062638380576666,30.62265968322754,0.08346337825059891,0.9886934220219747,0.10062638380576666,30.62265968322754,0.08346337825059891
Qwen3.5-2B-Base,Qwen3.5-2B-Instruct,task1_base_instruct,id,248044,24000,2048,2048,248320,248320,True,True,0.9968726890077054,0.05038710159140282,44.72874069213867,0.009581071324646473,0.9968726890077054,0.05038710159140282,44.72874069213867,0.009581071324646473
Qwen3-30B-A3B-Base,Qwen3-30B-A3B,task1_base_instruct,id,151643,24000,2048,2048,151936,151936,False,False,0.9932186625017659,0.08199354161692742,44.54325485229492,0.007777071092277765,0.9948921209706864,0.06891914919582814,43.93452835083008,0.0753074437379837
Qwen3-1.7B-Base,Qwen3-1.7B,task1_base_instruct,id,151643,24000,2048,2048,151936,151936,True,True,0.9943875921999769,0.07302716058846764,44.004920959472656,0.1421053260564804,0.9943875921999769,0.07302716058846764,44.004920959472656,0.1421053260564804
Qwen3-4B-Base,Qwen3-4B,task1_base_instruct,id,151643,24000,2560,2560,151936,151936,True,True,0.9910817882350088,0.09062677909377981,48.92392349243164,0.12869173288345337,0.9910817882350088,0.09062677909377981,48.92392349243164,0.12869173288345337
Qwen3-8B-Base,Qwen3-8B,task1_base_instruct,id,151643,24000,4096,4096,151936,151936,False,False,0.9964203590965272,0.05934246213239062,63.23115158081055,0.002307623391970992,0.9951326680108977,0.06795779524565972,62.427886962890625,0.1247434914112091
Qwen3.5-4B-Base,Qwen3.5-4B-Instruct,task1_base_instruct,id,248044,24000,2560,2560,248320,248320,True,True,0.9974522139351615,0.04677585761014191,50.063934326171875,0.008134080097079277,0.9974522139351615,0.04677585761014191,50.063934326171875,0.008134080097079277
Qwen2.5-3B,Qwen2.5-3B-Instruct,task1_base_instruct,id,151643,24000,2048,2048,151936,151936,True,True,0.9997534118598801,0.015115336738752795,45.069297790527344,0.012498869560658932,0.9997534118598801,0.015115336738752795,45.069297790527344,0.012498869560658932
Qwen3-14B-Base,Qwen3-14B,task1_base_instruct,id,151643,24000,5120,5120,151936,151936,False,False,0.996532650856266,0.05830422641231001,70.95116424560547,0.0025918767787516117,0.9949739396017242,0.0701970472751562,69.82106018066406,0.09374725073575974
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,task1_base_instruct,id,151643,24000,896,896,151936,151936,True,True,0.9905606294360195,0.08932585553773004,28.95166778564453,0.010564686730504036,0.9905606294360195,0.08932585553773004,28.95166778564453,0.010564686730504036
Qwen3.5-35B-A3B-Base,Qwen3.5-35B-A3B-Instruct,task1_base_instruct,id,248044,24000,2048,2048,248320,248320,False,False,0.9988117338096433,0.034068235544348395,45.08269119262695,0.0009753941558301449,0.9989160858713682,0.031180632165176952,44.775569915771484,0.0053679500706493855
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,task1_base_instruct,id,151643,24000,1536,1536,151936,151936,True,True,0.999700369241404,0.01640668652074788,39.01015090942383,0.01349628809839487,0.999700369241404,0.01640668652074788,39.01015090942383,0.01349628809839487
Qwen2.5-7B,Qwen2.5-7B-Instruct,task1_base_instruct,id,151643,24000,3584,3584,152064,152064,False,False,0.99976347626756,0.015301888877460023,59.806396484375,0.00021543900948017836,0.9993537323669085,0.024472343686346834,59.39662170410156,0.015328867360949516
Llama-3.2-1B,Llama-3.2-1B-Instruct,task1_base_instruct,id,128000,24000,2048,2048,128256,128256,True,True,0.9771370177188198,0.14055576490740126,42.090457916259766,0.12304914742708206,0.9771370177188198,0.14055576490740126,42.090457916259766,0.12304914742708206
Qwen3.5-9B-Base,Qwen3.5-9B-Instruct,task1_base_instruct,id,248044,24000,4096,4096,248320,248320,False,False,0.9988242610228771,0.0340948916197669,63.74644088745117,0.0016946661053225398,0.998517562955231,0.03691553105331563,63.37314987182617,0.01094100996851921
Llama-3.2-3B,Llama-3.2-3B-Instruct,task1_base_instruct,id,128000,24000,3072,3072,128256,128256,True,True,0.9817143238293131,0.12505799781682525,51.97362518310547,0.09222307056188583,0.9817143238293131,0.12505799781682525,51.97362518310547,0.09222307056188583
Llama-3.1-8B,Llama-3.1-8B-Instruct,task1_base_instruct,id,128000,24000,4096,4096,128256,128256,False,False,0.9986638525953052,0.03625989909283969,63.6903076171875,0.0015701425727456808,0.9979266631562771,0.04413359920630669,62.95204544067383,0.025381768122315407
Qwen2.5-32B,Qwen2.5-32B-Instruct,task1_base_instruct,id,151643,24000,5120,5120,152064,152064,False,False,0.9999020586500912,0.0098815767308069,71.48688507080078,0.00025271435151807964,0.9997742731816534,0.014853402620148818,71.278076171875,0.0064442516304552555
Qwen2.5-14B,Qwen2.5-14B-Instruct,task1_base_instruct,id,151643,24000,5120,5120,152064,152064,False,False,0.9998727131277663,0.01125810953947174,71.486572265625,0.0002999798161908984,0.9997652876115846,0.015204443278570502,71.29747009277344,0.007471076678484678
Gemma-2-2B,Gemma-2-2B-Instruct,task1_base_instruct,id,255993,24000,2304,2304,256000,256000,True,True,0.9993932448737057,0.022441028008831014,47.63551712036133,0.1649339497089386,0.9993932448737057,0.022441028008831014,47.63551712036133,0.1649339497089386
Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,task1_base_instruct,id,128000,24000,8192,8192,128256,128256,False,False,0.9990050860967383,0.03140351443363565,90.11074829101562,0.0018786033615469933,0.9981793634959443,0.04232885639858952,89.08061981201172,0.031990181654691696
Qwen2.5-72B-Base,Qwen2.5-72B-Instruct,task1_base_instruct,id,151643,24000,8192,8192,152064,152064,False,False,0.999803391771156,0.01399223533909935,90.43516540527344,0.00025496090529486537,0.9995287610848527,0.021163002972454804,90.02497100830078,0.03582613915205002
Gemma-3-4B,Gemma-3-4B-Instruct,task1_base_instruct,id,262137,24000,2560,2560,262208,262208,True,True,0.9620379648948444,0.19149252426218746,50.94873809814453,0.05521278455853462,0.9620379648948444,0.19149252426218746,50.94873809814453,0.05521278455853462
Gemma-2-9B,Gemma-2-9B-Instruct,task1_base_instruct,id,255995,24000,3584,3584,256000,256000,True,True,0.9925008511279473,0.07617228380374845,59.97760009765625,0.15756617486476898,0.9925008511279473,0.07617228380374845,59.97760009765625,0.15756617486476898
Gemma-3-1B,Gemma-3-1B-Instruct,task1_base_instruct,id,262137,24000,1152,1152,262144,262144,True,True,0.40376625159333257,0.736186859429057,18.088781356811523,0.16848593950271606,0.40376625159333257,0.736186859429057,18.088781356811523,0.16848593950271606
Gemma-4-E4B,Gemma-4-E4B-Instruct,task1_base_instruct,id,262120,24000,2560,2560,262144,262144,True,True,0.751563597114861,0.4676463568859012,52.52116012573242,0.4963324964046478,0.751563597114861,0.4676463568859012,52.52116012573242,0.4963324964046478
Gemma-4-E2B,Gemma-4-E2B-Instruct,task1_base_instruct,id,262120,24000,1536,1536,262144,262144,True,True,0.6877371339071265,0.5149611735763666,36.60520553588867,0.632602870464325,0.6877371339071265,0.5149611735763666,36.60520553588867,0.632602870464325
Gemma-3-27B,Gemma-3-27B-Instruct,task1_base_instruct,id,262137,24000,5376,5376,262208,262208,True,True,0.9769735520217864,0.15096024414269726,72.04949188232422,0.024427665397524834,0.9769735520217864,0.15096024414269726,72.04949188232422,0.024427665397524834
Gemma-3-12B,Gemma-3-12B-Instruct,task1_base_instruct,id,262137,24000,3840,3840,262208,262208,True,True,0.9721059754907138,0.16554866040485286,60.3551025390625,0.031430963426828384,0.9721059754907138,0.16554866040485286,60.3551025390625,0.031430963426828384
DeepSeek-V3.1-Base,DeepSeek-V3.1,task1_base_instruct|task2_model_series,id,127998,24000,7168,7168,129280,129280,False,False,0.9999894645051852,0.0032358203540166297,84.6630859375,0.0009456771658733487,0.9999924087459426,0.002747025415428465,84.65777587890625,0.011613900773227215
DeepSeek-V3-Base,DeepSeek-V3,task1_base_instruct|task2_model_series,id,127998,24000,7168,7168,129280,129280,False,False,0.9999964191736118,0.001886484172980823,84.66324615478516,0.0005186808411963284,0.9999985147215278,0.0012149733701200195,84.6649398803711,0.0038594037760049105
Gemma-4-26B-A4B,Gemma-4-26B-A4B-Instruct,task1_base_instruct,id,262120,24000,2816,2816,262144,262144,True,True,0.7398660435327471,0.48699531198617857,70.40410614013672,0.672417163848877,0.7398660435327471,0.48699531198617857,70.40410614013672,0.672417163848877
Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,task2_model_series,id,128000,24000,8192,2048,128256,128256,False,True,0.506443019911681,0.6532571257846712,80.5658950805664,0.4364258944988251,0.5981393811198148,0.5894584950759916,76.47651672363281,0.2724701762199402
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,task2_model_series,id,128000,24000,4096,2048,128256,128256,False,True,0.33009552040004575,0.7617194099721478,47.22673034667969,0.47175607085227966,0.508894425764227,0.6521928197423744,47.58439636230469,0.26257333159446716
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,task2_model_series,id,128000,24000,8192,4096,128256,128256,False,False,0.46925521222743816,0.7226242974736035,62.42335891723633,0.06255369633436203,0.6117298187296133,0.604273169586652,75.26921844482422,0.07780466228723526
Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,task2_model_series,id,128000,24000,8192,3072,128256,128256,False,True,0.49050797933947077,0.6600119184683793,94.83585357666016,0.524067223072052,0.6119581764415827,0.5759998271890427,88.5771255493164,0.3445012867450714
Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,task2_model_series,id,128000,24000,4096,3072,128256,128256,False,True,0.3138473914409221,0.765987475229701,54.570762634277344,0.5581957697868347,0.6022285046408578,0.5832142651815384,59.534690856933594,0.3147265613079071
Qwen2.5-0.5B-Instruct,Qwen2.5-3B-Instruct,task2_model_series,id,151643,24000,896,2048,151936,151936,True,True,0.2290216515688469,0.8449227813996179,39.63196563720703,0.1885882467031479,0.2290216515688469,0.8449227813996179,39.63196563720703,0.1885882467031479
Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,task2_model_series,id,151643,24000,896,1536,151936,151936,True,True,0.2694138150024624,0.8098772780881204,38.92581558227539,0.19345319271087646,0.2694138150024624,0.8098772780881204,38.92581558227539,0.19345319271087646
Qwen2.5-1.5B-Instruct,Qwen2.5-3B-Instruct,task2_model_series,id,151643,24000,1536,2048,151936,151936,True,True,0.36759790903616596,0.7655349485189423,25.71292495727539,0.12559472024440765,0.36759790903616596,0.7655349485189423,25.71292495727539,0.12559472024440765
Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,task2_model_series,string,151643,24000,896,3584,151936,152064,True,False,0.17350844432522772,0.9044823668980869,29.19759178161621,0.1826048046350479,0.13041824355355214,0.8979877415183795,19.318262100219727,0.13009274005889893
Qwen2.5-1.5B-Instruct,Qwen2.5-14B-Instruct,task2_model_series,string,151643,24000,1536,5120,151936,152064,True,False,0.17414904328416025,0.9068407621094488,20.434558868408203,0.22081667184829712,0.21091589552329737,0.881536242045946,23.405715942382812,0.1411098837852478
Qwen2.5-0.5B-Instruct,Qwen2.5-14B-Instruct,task2_model_series,string,151643,24000,896,5120,151936,152064,True,False,0.12736366315650272,0.932167424376081,35.928096771240234,0.21367251873016357,0.12601788147704984,0.9277755629187967,34.46070861816406,0.1519317626953125
Qwen2.5-0.5B-Instruct,Qwen2.5-32B-Instruct,task2_model_series,string,151643,24000,896,5120,151936,152064,True,False,0.1370287229059628,0.9275528168537387,39.5726203918457,0.2176024168729782,0.12098940722288665,0.9267708153832105,35.24534606933594,0.17006860673427582
Qwen2.5-3B-Instruct,Qwen2.5-7B-Instruct,task2_model_series,string,151643,24000,2048,3584,151936,152064,True,False,0.25551161528867594,0.8584772217268971,17.218338012695312,0.14802470803260803,0.25415169654258485,0.8317232427131389,15.404144287109375,0.14881263673305511
Qwen2.5-0.5B-Instruct,Qwen2.5-72B-Instruct,task2_model_series,string,151643,24000,896,8192,151936,152064,True,False,0.16615806628206253,0.9112291066938426,29.134531021118164,0.13654452562332153,0.08800619025075285,0.9308799501600823,19.718910217285156,0.12186970561742783
Qwen2.5-3B-Instruct,Qwen2.5-14B-Instruct,task2_model_series,string,151643,24000,2048,5120,151936,152064,True,False,0.2032488892966201,0.890698193482217,22.741756439208984,0.18545816838741302,0.2662018045757536,0.850121952745453,27.373746871948242,0.12465644627809525
Qwen2.5-1.5B-Instruct,Qwen2.5-32B-Instruct,task2_model_series,string,151643,24000,1536,5120,151936,152064,True,False,0.18654590377702418,0.9005577813260004,22.37888526916504,0.2337815761566162,0.2002441581509986,0.8839866156240865,23.978717803955078,0.17618577182292938
Qwen2.5-3B-Instruct,Qwen2.5-32B-Instruct,task2_model_series,string,151643,24000,2048,5120,151936,152064,True,False,0.2166986877723983,0.8836957962341396,24.776697158813477,0.19021674990653992,0.2543345888520092,0.8536799401574298,28.011381149291992,0.1421019285917282
Qwen2.5-3B-Instruct,Qwen2.5-72B-Instruct,task2_model_series,string,151643,24000,2048,8192,151936,152064,True,False,0.25559079218198744,0.860973935096848,18.043489456176758,0.09606728702783585,0.1742259451493804,0.8858933530458275,16.226211547851562,0.11908172070980072
Qwen2.5-7B-Instruct,Qwen2.5-32B-Instruct,task2_model_series,id,151643,24000,3584,5120,152064,152064,False,False,0.2899807195360026,0.8413395950381002,92.0357894897461,0.03957217559218407,0.35935431008394925,0.7911207723881214,74.67990112304688,0.30166366696357727
Qwen2.5-1.5B-Instruct,Qwen2.5-72B-Instruct,task2_model_series,string,151643,24000,1536,8192,151936,152064,True,False,0.2220144623846214,0.8801970481662843,16.386072158813477,0.12768490612506866,0.13609854632225393,0.9062020482418239,13.878664016723633,0.16056281328201294
Qwen2.5-7B-Instruct,Qwen2.5-72B-Instruct,task2_model_series,id,151643,24000,3584,8192,152064,152064,False,False,0.3113298611332118,0.8280828914454609,61.756893157958984,0.021776795387268066,0.282314729920657,0.8257704506177906,44.76116180419922,0.23889856040477753
Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,task2_model_series,id,151643,24000,5120,8192,152064,152064,False,False,0.38794401965182,0.7807194684640758,75.47032165527344,0.027406547218561172,0.37304947790386744,0.771974563524932,34.73161697387695,0.12442076206207275
Qwen2.5-14B-Instruct,Qwen2.5-32B-Instruct,task2_model_series,id,151643,24000,5120,5120,152064,152064,False,False,0.5025460896847738,0.7042309558796536,102.16435241699219,0.025527169927954674,0.6690877235012821,0.5685742788801434,61.63839340209961,0.0865139290690422
Qwen2.5-32B-Instruct,Qwen2.5-72B-Instruct,task2_model_series,id,151643,24000,5120,8192,152064,152064,False,False,0.39213886995142755,0.7780394586397644,77.31031036376953,0.030289320275187492,0.3870992956682926,0.7632756656317853,34.00545883178711,0.11874569207429886
Qwen3-0.6B,Qwen3-1.7B,task2_model_series,id,151643,24000,1024,2048,151936,151936,True,True,0.3270055211138101,0.7998857576964816,30.791399002075195,0.22622685134410858,0.3270055211138101,0.7998857576964816,30.791399002075195,0.22622685134410858
Qwen3-0.6B,Qwen3-4B,task2_model_series,id,151643,24000,1024,2560,151936,151936,True,True,0.23924857790865695,0.8368326947097331,18.51326560974121,0.1762283742427826,0.23924857790865695,0.8368326947097331,18.51326560974121,0.1762283742427826
Qwen3-0.6B,Qwen3-14B,task2_model_series,id,151643,24000,1024,5120,151936,151936,True,False,0.14888008539651842,0.9134437151778171,18.123563766479492,0.407354474067688,0.1527073609487909,0.9114848612755881,21.00694465637207,0.20438788831233978
Qwen3-0.6B,Qwen3-30B-A3B,task2_model_series,id,151643,24000,1024,2048,151936,151936,True,False,0.20618985202469775,0.8871157474813887,14.625798225402832,0.1700887531042099,0.2658514272421255,0.8263178652768404,21.063270568847656,0.1661251336336136
Qwen3-0.6B,Qwen3-32B,task2_model_series,id,151643,24000,1024,5120,151936,151936,True,False,0.1566121007146244,0.9084144465954519,18.06110191345215,0.39523711800575256,0.14703983353525507,0.9115478974251399,19.099788665771484,0.19026190042495728
Qwen3-1.7B,Qwen3-4B,task2_model_series,id,151643,24000,2048,2560,151936,151936,True,True,0.38276368544094796,0.7539780491862681,19.198532104492188,0.18500520288944244,0.38276368544094796,0.7539780491862681,19.198532104492188,0.18500520288944244
Gemma-2-27B,Gemma-2-27B-Instruct,task1_base_instruct,id,255993,24000,4608,4608,256000,256000,True,True,0.9980302414930128,0.043886069974658146,67.49649047851562,0.07424641400575638,0.9980302414930128,0.043886069974658146,67.49649047851562,0.07424641400575638
Qwen3-0.6B,Qwen3-235B-A22B,task2_model_series,id,151643,24000,1024,4096,151936,151936,True,False,0.17178405378624417,0.9084053415741596,14.912928581237793,0.15029768645763397,0.1932667177562657,0.8920139800791239,21.177146911621094,0.2103734016418457
Qwen3-1.7B,Qwen3-14B,task2_model_series,id,151643,24000,2048,5120,151936,151936,True,False,0.20775773484372573,0.8812859195352837,17.476865768432617,0.3284185826778412,0.2633639737486483,0.8498740743001317,22.757299423217773,0.2072775512933731
Qwen3-1.7B,Qwen3-8B,task2_model_series,id,151643,24000,2048,4096,151936,151936,True,False,0.19330439229290497,0.8908516702448586,17.990163803100586,0.2974787652492523,0.31326685163540957,0.8071020107412622,26.741971969604492,0.22286078333854675
Qwen3-1.7B,Qwen3-235B-A22B,task2_model_series,id,151643,24000,2048,4096,151936,151936,True,False,0.2391455914503594,0.8706910181810703,14.294967651367188,0.13618150353431702,0.31435219592243757,0.8224052495455602,21.977352142333984,0.20245951414108276
Qwen3-1.7B,Qwen3-30B-A3B,task2_model_series,id,151643,24000,2048,2048,151936,151936,True,False,0.27867304140372484,0.8456505292870821,13.654626846313477,0.14393030107021332,0.4151994902651436,0.7375357714908373,21.292451858520508,0.17103242874145508
Qwen3-4B,Qwen3-14B,task2_model_series,id,151643,24000,2560,5120,151936,151936,True,False,0.23548100210689626,0.8657451384438292,30.361970901489258,0.42547303438186646,0.3290878851739014,0.8109665950014728,40.647483825683594,0.2789021134376526
Qwen3-4B,Qwen3-8B,task2_model_series,id,151643,24000,2560,4096,151936,151936,True,False,0.23139881186167088,0.8695541617553677,31.829566955566406,0.375575453042984,0.4611096543912899,0.7150509385268806,52.20647048950195,0.24646450579166412
Qwen3-4B,Qwen3-30B-A3B,task2_model_series,id,151643,24000,2560,2048,151936,151936,True,False,0.30671801317283154,0.8290466911086886,23.431184768676758,0.18876896798610687,0.48492645817580127,0.692001203124734,36.945396423339844,0.19132250547409058
Qwen3-4B,Qwen3-32B,task2_model_series,id,151643,24000,2560,5120,151936,151936,True,False,0.2452741275651903,0.8593752565646218,29.98432731628418,0.40617820620536804,0.3199262813461854,0.8136922596607616,37.24702453613281,0.3200109004974365
Qwen3-4B,Qwen3-235B-A22B,task2_model_series,id,151643,24000,2560,4096,151936,151936,True,False,0.2696877666654086,0.8530227174208195,24.76778221130371,0.18519769608974457,0.3786730629166538,0.7828171631319352,38.8492431640625,0.28276994824409485
Qwen3-8B,Qwen3-32B,task2_model_series,id,151643,24000,4096,5120,151936,151936,False,False,0.321233078945379,0.814989261085159,49.11822509765625,0.04695115238428116,0.4463298124703692,0.7343252939753273,36.8426399230957,0.20839034020900726
Qwen3-8B,Qwen3-30B-A3B,task2_model_series,id,151643,24000,4096,2048,151936,151936,False,False,0.3323187682623152,0.8136241756920648,34.19182205200195,0.045901134610176086,0.5815779941608392,0.6240294837210119,32.914363861083984,0.11665701121091843
Qwen3-8B,Qwen3-235B-A22B,task2_model_series,id,151643,24000,4096,4096,151936,151936,False,False,0.3095764304831732,0.8293999086472322,39.04350280761719,0.04110255092382431,0.5037098551552657,0.6997611621849723,36.9041862487793,0.21221160888671875
Qwen3-14B,Qwen3-32B,task2_model_series,id,151643,24000,5120,5120,151936,151936,False,False,0.503132894611622,0.6972427188720526,85.38453674316406,0.0407843217253685,0.7485386186933168,0.494909074700542,57.716453552246094,0.13204452395439148
Qwen3-14B,Qwen3-30B-A3B,task2_model_series,id,151643,24000,5120,2048,151936,151936,False,False,0.36557214305581587,0.793077208542251,65.11182403564453,0.04845816642045975,0.6117382867598562,0.6010962140984821,42.96030044555664,0.1789570301771164
Qwen3-14B,Qwen3-235B-A22B,task2_model_series,id,151643,24000,5120,4096,151936,151936,False,False,0.3498641715588412,0.8048471056882002,74.704833984375,0.042740121483802795,0.5591157460604543,0.6595355764890535,48.83705139160156,0.14761975407600403
Qwen3-32B,Qwen3-30B-A3B,task2_model_series,id,151643,24000,5120,2048,151936,151936,False,False,0.3606120525342237,0.7961713948396307,73.11031341552734,0.05047784373164177,0.6069684023146342,0.6047772456494411,48.87601089477539,0.2712669372558594
Gemma-4-31B,Gemma-4-31B-Instruct,task1_base_instruct,id,262120,24000,5376,5376,262144,262144,True,True,0.8251545933613333,0.4099403943936301,75.5433578491211,0.2953961193561554,0.8251545933613333,0.4099403943936301,75.5433578491211,0.2953961193561554
Qwen3-30B-A3B,Qwen3-235B-A22B,task2_model_series,id,151643,24000,2048,4096,151936,151936,False,False,0.26547893651783816,0.8554784500962236,23.908227920532227,0.033077023923397064,0.38781600946086625,0.7771133577861825,32.56263732910156,0.21670103073120117
Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,task2_model_series,id,128000,24000,2048,3072,128256,128256,True,True,0.38455982247082676,0.7255623011258583,32.222774505615234,0.18636463582515717,0.38455982247082676,0.7255623011258583,32.222774505615234,0.18636463582515717
Qwen3.5-0.8B-Instruct,Qwen3.5-2B-Instruct,task2_model_series,id,248044,24000,1024,2048,248320,248320,True,True,0.32090441659771074,0.7424761669522565,18.845321655273438,0.1096729040145874,0.32090441659771074,0.7424761669522565,18.845321655273438,0.1096729040145874
Qwen3.5-0.8B-Instruct,Qwen3.5-4B-Instruct,task2_model_series,id,248044,24000,1024,2560,248320,248320,True,True,0.24357920902664953,0.8057278423269439,16.42032241821289,0.11140554398298264,0.24357920902664953,0.8057278423269439,16.42032241821289,0.11140554398298264
